,name,rating,reviews,type,hq,old,employees
9871,Delhi Transport Corporat...,4.2,27 Reviews,Private,Jodhpur + 5 more,1001-5000 employees,
9872,RMC SWITCHGEARS,3.0,27 Reviews,Public,Jaipur,,
9873,Quantiphi Analytics Solu...,3.1,27 Reviews,Private,Mumbai,7 years old,501-1000 employees
9874,Moti Mahal,4.4,27 Reviews,Private,Calgary + 8 more,1-50 employees,
9875,Tecosim Engineering Serv...,2.0,27 Reviews,Private,Pune,201-500 employees,
9876,Mangal Electrical Indust...,3.6,27 Reviews,Pratapgarh + 1 more,,,
9877,Kranti Industries,3.4,27 Reviews,Private,Pune + 3 more,,
9878,British Orient Infotel,2.8,27 Reviews,Private,Bangalore + 2 more,,
9879,MASCO,4.0,27 Reviews,Private,Livonia + 4 more,91 years old,10000+ employees
9880,Indo Baijin Chemicals,4.1,27 Reviews,Private,Bharuch,9 years old,
9881,Colourtex Industries,3.9,27 Reviews,Private,Surat + 3 more,31 years old,501-1000 employees
9882,Velammal Vidhyashram,4.0,27 Reviews,Chennai,,,
9883,Innovatia Inc,4.2,27 Reviews,Saint John,,,
9884,Snc-lavalin Infrastructu...,4.5,27 Reviews,Private,Delhi + 8 more,,
9885,Bhaktivedanta Hospital,4.5,27 Reviews,Thane + 1 more,,,
9886,Sgt Medical College Hosp...,3.6,27 Reviews,Private,Gurgaon + 3 more,21 years old,1001-5000 employees
9887,Thakur Publication,3.8,27 Reviews,Mumbai + 5 more,,,
9888,Sarin Technologies,3.8,27 Reviews,Private,Kfar Saba,501-1000 employees,
9889,Dr. Mehta's Hospitals,4.2,27 Reviews,Tiruchirappalli + 2 more,,,
9890,Nitin Spinners,3.8,27 Reviews,Public,BhÄ«lwÄra,1001-5000 employees,
9891,Nippon Steel Sumikin Eng...,3.8,27 Reviews,Gurgaon + 1 more,,,
9892,Vijay Raja Homes,3.4,27 Reviews,Chennai,,,
9893,Greendot Health Foods,3.7,27 Reviews,Faridabad + 6 more,11 years old,,
9894,Dynamic Staffing Service...,4.3,27 Reviews,Mumbai + 7 more,,,
9895,People Tree Hospitals,3.8,27 Reviews,Bengaluru,,,
9896,P N RAO,3.9,27 Reviews,Private,Coimbatore + 2 more,1-50 employees,
9897,Shriram Veritech Solutio...,3.8,27 Reviews,Private,Noida + 2 more,51-200 employees,
9898,Simeio Solutions,4.0,27 Reviews,Private,Atlanta,11 years old,201-500 employees
9899,Uttar Bihar Gramin Bank,3.9,27 Reviews,Private,Begusarai + 7 more,1-50 employees,
